,Score,Damage Done,Average TTK,Kills,Scenario
0,100.192055,123.0,0.488,123,1wall6targets TE
0,110.769234,120.0,0.5,120,1wall6targets TE
0,108.099236,119.0,0.504,119,1wall6targets TE
0,2384.700439,2142.0,8.571,7,Cata IC Long Strafes
0,2530.486816,2262.0,8.571,7,Cata IC Long Strafes
0,2530.486816,2262.0,8.571,7,Cata IC Long Strafes
0,2352.0,2184.0,8.571,7,Cata IC Long Strafes
0,2871.385742,2400.0,7.5,8,Cata IC Long Strafes
0,2598.053223,2292.0,8.571,7,Cata IC Long Strafes
0,2735.445313,2346.0,8.571,7,Cata IC Long Strafes
0,2535.804932,2280.0,8.571,7,Cata IC Long Strafes
0,2508.671875,2250.0,8.571,7,Cata IC Long Strafes
0,3086.881348,2466.0,7.5,8,Cata IC Long Strafes
0,2917.933105,2400.0,7.5,8,Cata IC Long Strafes
0,2851.485107,2400.0,7.5,8,Cata IC Long Strafes
0,2932.790283,2400.0,7.5,8,Cata IC Long Strafes
0,72.301071,2050.0,0.366,82,Tile Frenzy
0,63.366337,2000.0,0.375,80,Tile Frenzy
0,76.695656,2100.0,0.357,84,Tile Frenzy
0,73.890114,2050.0,0.366,82,Tile Frenzy
